NUM_GENERATIONS,NIM_SIZE,NUM_MATCHES,k,win_rate
10,3,10,,1.0
10,3,10,5,1.0
10,3,10,3,1.0
10,3,100,,0.8
10,3,100,5,0.8
10,3,100,3,0.78
10,5,10,,0.9
10,5,10,5,0.9
10,5,10,3,0.9
10,5,100,,0.84
10,5,100,5,0.76
10,5,100,3,0.77
10,10,10,,1.0
10,10,10,5,1.0
10,10,10,3,1.0
10,10,100,,0.81
10,10,100,5,0.78
10,10,100,3,0.85
100,3,10,,1.0
100,3,10,5,1.0
100,3,10,3,1.0
100,3,100,,0.87
100,3,100,5,0.95
100,3,100,3,0.87
100,5,10,,1.0
100,5,10,5,1.0
100,5,10,3,1.0
100,5,100,,0.84
100,5,100,5,0.89
100,5,100,3,0.8
100,10,10,,1.0
100,10,10,5,1.0
100,10,10,3,1.0
100,10,100,,0.89
100,10,100,5,0.98
100,10,100,3,0.86
