NUM_GENERATIONS,NIM_SIZE,NUM_MATCHES,k,win_rate
10,3,10,,0.5
10,3,10,5,0.6
10,3,10,3,0.5
10,3,100,,0.47
10,3,100,5,0.28
10,3,100,3,0.36
10,5,10,,0.4
10,5,10,5,0.5
10,5,10,3,0.6
10,5,100,,0.33
10,5,100,5,0.42
10,5,100,3,0.38
10,10,10,,0.6
10,10,10,5,0.6
10,10,10,3,0.5
10,10,100,,0.43
10,10,100,5,0.37
10,10,100,3,0.51
100,3,10,,0.8
100,3,10,5,0.9
100,3,10,3,0.7
100,3,100,,0.58
100,3,100,5,0.86
100,3,100,3,0.83
100,5,10,,0.9
100,5,10,5,0.8
100,5,10,3,0.8
100,5,100,,0.59
100,5,100,5,0.74
100,5,100,3,0.79
100,10,10,,0.7
100,10,10,5,0.9
100,10,10,3,1.0
100,10,100,,0.64
100,10,100,5,0.74
100,10,100,3,0.87
