NUM_GENERATIONS,NIM_SIZE,NUM_MATCHES,k,win_rate
10,3,10,,0.6
10,3,10,5,0.6
10,3,10,3,0.6
10,3,100,,0.41
10,3,100,5,0.5
10,3,100,3,0.42
10,5,10,,0.6
10,5,10,5,0.7
10,5,10,3,0.5
10,5,100,,0.46
10,5,100,5,0.33
10,5,100,3,0.31
10,10,10,,0.5
10,10,10,5,0.6
10,10,10,3,0.9
10,10,100,,0.45
10,10,100,5,0.51
10,10,100,3,0.68
100,3,10,,0.8
100,3,10,5,0.9
100,3,10,3,0.6
100,3,100,,0.91
100,3,100,5,0.69
100,3,100,3,0.82
100,5,10,,0.7
100,5,10,5,0.8
100,5,10,3,0.7
100,5,100,,0.69
100,5,100,5,0.85
100,5,100,3,0.82
100,10,10,,0.8
100,10,10,5,0.9
100,10,10,3,0.8
100,10,100,,0.71
100,10,100,5,0.84
100,10,100,3,0.86
